Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q3_18,Q3_19,Q3_20,Q3_21,Q3_22,Q3_23,Q3_24,Q3_25,Q3_26,Q3_27,Q3_28,Q3_29,Q3_30,Q3_31,Q3_32,Q3_33,Q3_34,Q3_35,Q3_36,Q3_37,Q3_38,Q3_39,Q3_40,Q4
What is your name?,Tell me some information about the relationships you have with other people in this class -1,Tell me some information about the relationships you have with other people in this class -2,Tell me some information about the relationships you have with other people in this class -3,Tell me some information about the relationships you have with other people in this class -4,Tell me some information about the relationships you have with other people in this class -5,Tell me some information about the relationships you have with other people in this class -6,Tell me some information about the relationships you have with other people in this class -7,Tell me some information about the relationships you have with other people in this class -8,Tell me some information about the relationships you have with other people in this class -9,Tell me some information about the relationships you have with other people in this class -10,Tell me some information about the relationships you have with other people in this class -11,Tell me some information about the relationships you have with other people in this class -12,Tell me some information about the relationships you have with other people in this class -13,Tell me some information about the relationships you have with other people in this class -14,Tell me some information about the relationships you have with other people in this class -15,Tell me some information about the relationships you have with other people in this class -16,Tell me some information about the relationships you have with other people in this class -17,Tell me some information about the relationships you have with other people in this class -18,Tell me some information about the relationships you have with other people in this class -19,Tell me some information about the relationships you have with other people in this class -20,Tell me some information about the relationships you have with other people in this class -21,Tell me some information about the relationships you have with other people in this class -22,Tell me some information about the relationships you have with other people in this class -23,Tell me some information about the relationships you have with other people in this class -24,Tell me some information about the relationships you have with other people in this class -25,Tell me some information about the relationships you have with other people in this class -26,Tell me some information about the relationships you have with other people in this class -27,Tell me some information about the relationships you have with other people in this class -28,Tell me some information about the relationships you have with other people in this class -29,Tell me some information about the relationships you have with other people in this class -30,Tell me some information about the relationships you have with other people in this class -31,Tell me some information about the relationships you have with other people in this class -32,Tell me some information about the relationships you have with other people in this class -33,Tell me some information about the relationships you have with other people in this class -34,Tell me some information about the relationships you have with other people in this class -35,Tell me some information about the relationships you have with other people in this class -36,Tell me some information about the relationships you have with other people in this class -37,Tell me some information about the relationships you have with other people in this class -38,Tell me some information about the relationships you have with other people in this class -39,Tell me some information about the relationships you have with other people in this class -40,Are you introverted or extraverted?
30,,,,,,,,4,,4,1,,,,,,,"1,2,3,4,5",,"1,3,4,5",4,,,,,,,,4,,,,,"1,2,3,4,5",,"1,3,4,5",,,,,2
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,2
40,,,,"1,2,3,4,5",,"1,3,4,5",,,"1,5",,,,,,,,,,,,,"1,3,4,5",,"1,2,3,4,5",,,,,,,,,,,,,,,,"1,2,3,4,5",2
5,,"1,2,3,4",,,,"1,2,3,4,5",,,,,,"1,3,4",,,,,,"1,2,3,4","1,2,3,4",,,,,,,2,"2,3","1,2,3,4,5",,,"1,2,3,4,5",,,"1,2,3","1,2,3,4,5",,,,,,2
33,,,,,,,,,,,,3,,,3,,,,,,,,,,,,,3,,,,3,,,,,,,,,2
23,1,2,1,,,2,,4,,,,,1,,1,1,,"1,2",1,,4,,,,,,,2,"1,3,4",,2,,,,2,,,,,,2
28,"1,2,3,5","2,3,4",,,"1,2,3,4,5","1,2,3,4,5",4,4,,4,,"1,3,4",,,"1,2,3,4,5",3,,"1,2,3,4,5","1,2,3,4,5",3,4,"1,3,4,5","2,3",,,,"1,2,3,4","1,2,3,4,5","1,3,4",,"1,2,3,4,5","1,3,4,5","1,3,4,5",2,2,"3,4",,,,,2
32,,,,,,,,4,,4,,1,,,"1,3",,,,,,4,,,,,,,"1,4,5",4,,,,"1,4,5",,5,4,,,,,2
15,5,,,,,,,4,,,,"1,3,4,5",,,,,,"1,2,3,4,5",,,4,"1,5","1,3,4,5",,,,,"1,2,3,4,5","3,4",,,"1,2,3,4,5","1,3,4,5","4,5",,,,,,,2
2,,,,,"1,2,3,4,5","1,2,3,4,5",,"2,3,4",,,,,,,,,,"1,2,3,4,5","1,2,3",,"2,5",,,,,5,"1,2,3,4,5","1,2,3,4,5","1,2,3,4,5",,"1,2,3,4,5",,,"2,3",,"2,3,4,5",,,,,3
1,"1,2,3",2,,,,2,,"2,4",2,"2,4",,,"1,2,4",,2,"1,2",2,,2,"2,4","2,3,4",2,,,"1,2,4",,,"1,2,3,4","1,2,3,4",,2,2,2,2,2,"2,4",2,,,,2
35,,"1,2,3,4",,,"1,2,3,4,5","1,2,3,4,5",,4,"1,4,5",4,,,,,,,,2,2,,4,"4,5",2,,,,2,2,4,,"1,2,3,4,5",4,,,,,,"1,2,3,4,5",,,3
20,"4,5",,1,,,5,,"1,4","1,4,5",4,"1,4,5",,"1,4,5",,,,,"1,3,4,5","4,5",,"1,2,3,4","1,3,4,5",,,,"4,5",,"1,4,5","1,3,4","1,3,4,5",,,,"1,3,4,5",1,"1,3,4,5",,,,,2
18,,"1,2,3,4,5",,,"1,2,3,4,5","2,3",,4,,,1,"1,3,4,5",,,"3,4",,,1,,"1,2,3,4,5",,"1,3",,,,,,"1,2,3,4,5",,"1,2,3,4,5","2,3",,,"1,2,3,4,5",2,"1,2,3,4,5",,,,,1
24,,,,"1,2,3,4,5",,"1,2,3,4,5",,,,,,,,,,,,"2,4,5",,,,"1,2,3,4,5",,,,,,"4,5","1,4,5",,,,,,,,,,,"1,2,3,4,5",2
36,,"3,4",,,,,,4,,4,,"1,3","1,3",,,,,"1,3,4,5",,"1,3,4,5",4,,,,,,"1,3",,4,"1,3,4,5",,,,"1,3,4,5",,,,,,,2
7,,"2,4","2,4,5",,,4,,,"1,2,4,5",,,,,"1,2,3,4,5",,,,,"1,2,4,5",,,,,,,"1,2,4,5",,"4,5","2,4,5",,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,"1,2,3,4",,,"1,2,3,4,5","1,2,3,4,5",,"1,2,3,4",,4,,,"3,4,5",,,,,"2,3",2,,4,"1,3","2,3",,,,2,"1,2","1,3,4",,"1,2,3,4",,,,"1,2,3,4,5",,,"1,3,4,5",,,3
34,,"2,3",1,,"1,2,3,4,5",2,,4,1,,1,,,,1,,,"1,2,3,4,5","1,2,3,4,5","1,3,4,5",,,,,,,,2,4,"1,2,3,4,5",,,,,,"1,3,4,5",,,,,1
38,5,"1,3,4",,,"1,3,4",,,4,,4,,,,,,,,,,"3,4,5","2,4",,,,,,,4,"3,4",,"3,4,5",3,3,,"1,3,4,5",,,,,,2
6,,"1,2,3,4,5",,,"1,2,3,4,5",,,"1,2,4",,,,,,,,,,2,2,,4,"1,3,4,5",2,"1,5",,,2,"1,2",4,,"1,2,3,4,5",,,2,"1,2,3,4,5",,,,,"1,4,5",2
